,store,sido,gungu,address,phone
0,가락2호,서울,송파구,서울 송파구 가락동 75-7,"02 -448-9005,9045"
1,가산디지털,서울,금천구,서울 금천구 가산동 371-6 가산비지니스센터 2층,02 -865-0865
2,가양,서울,강서구,서울 강서구 등촌동 75-1,02 -3665-3433
3,강남역,서울,서초구,서울 서초구 서초동 1309-6,02 -596-1991
4,강서구청,서울,강서구,서울 강서구 화곡동 986-16,02 -2699-3999
5,강일,서울,강동구,서울 강동구 강일동 679-3 리슈빌오피스텔,"02 -426-6692,6696"
6,개봉1호,서울,구로구,서울 구로구 개봉동 403-159,02 -2066-9244~5
7,개포1호,서울,강남구,서울 강남구 개포동 1229-18,"02 -573-5699,5499"
8,거여가락1호,서울,송파구,서울 송파구 가락동 180-9,02 -406-9282
9,건대,서울,광진구,서울 광진구 화양동 9-18,02 -462-1991
10,경희대,서울,동대문구,서울 동대문구 회기동 42-16,02 -963-5353
11,고덕1호,서울,강동구,서울 강동구 고덕동 650-1,02 -481-9503~4
12,고척1호,서울,구로구,서울 구로구 개봉1동 126-4,02 -2060-4940
13,공릉1호,서울,노원구,서울 노원구 공릉동 338-6,02 -974-3999
14,공릉2호,서울,노원구,서울 노원구 공릉동 461-1,02 -975-9991
15,광장,서울,광진구,서울 광진구 광장동 530-13,02 -453-9292
16,구로2호,서울,구로구,서울 구로구 구로동 74-30,02 -854-1004
17,구로디지털,서울,구로구,서울 구로구 구로동 826-1,02 -856-5542
18,구산역,서울,은평구,서울 은평구 갈현동 464-14,02 -352-9949
19,구의2호,서울,광진구,서울 광진구 구의동 229-43,02 -453-9995
20,개포1호,서울,강남구,서울 강남구 개포동 1229-18,"02 -573-5699,5499"
21,논현1호(서울),서울,강남구,서울 강남구 논현동 164-16,02 -540-2182
22,대치1호,서울,강남구,서울 강남구 대치동936,"02 -556-3599, 558-3599"
23,대치2호,서울,강남구,서울 강남구 대치동 989-4,02 -556-9963
24,도곡,서울,강남구,서울 강남구 도곡동 416-4,02 -6494-0103
25,삼성1호,서울,강남구,서울 강남구 삼성동 44-18,02 -515-2399
26,세곡,서울,강남구,서울 강남구 자곡동 611,02 -2226-1991
27,압구정신사,서울,강남구,서울 강남구 신사동 640-5 대성빌딩 1층 1호,02 -547-9945
28,역삼1호,서울,강남구,서울 강남구 역삼동 837-15,02 -566-9942
29,일원1동,서울,강남구,서울 강남구 일원동 645,02 -459-1006
30,일원본동,서울,강남구,서울 강남구 수서동 747 삼성아파트 상가 104호,02 -2226-4080
31,청담역,서울,강남구,서울 강남구 청담동 65 진흥아파트상가,"02 -515-9995,515-9975"
32,강일,서울,강동구,서울 강동구 강일동 679-3 리슈빌오피스텔,"02 -426-6692,6696"
33,고덕1호,서울,강동구,서울 강동구 고덕동 650-1,02 -481-9503~4
34,길1호,서울,강동구,서울 강동구 길동 347-31,02 -473-0092
35,둔촌1호,서울,강동구,서울 강동구 둔촌동 454-5,02 -475-9295
36,명일1호,서울,강동구,서울 강동구 명일동 328-2,"02 -3426-9199,3380"
37,상일,서울,강동구,서울 강동구 고덕동 200-3,02 -441-1991
38,성내,서울,강동구,서울 강동구 성내2동 509-7 1층,02 -485-9293
39,암사1호,서울,강동구,서울 강동구 암사동 504-37,02 -426-8533
40,암사2호,서울,강동구,서울 강동구 암사동 446-18,02 -427-9982
41,천호1호,서울,강동구,서울 강동구 천호동 550번지 강천빌딩,02 -470-9908
42,덕성여대,서울,강북구,서울 강북구 우이동 72-148,02 -900-3123
43,미아1호,서울,강북구,서울 강북구 미아5동 1264-233,02 -987-9280
44,미아역,서울,강북구,서울 강북구 미아동 131-8,02 -989-6288
45,수유1호,서울,강북구,서울 강북구 수유동 385-2,02 -994-8911~2
46,수유역점,서울,강북구,서울 강북구 번동 461-127,02 -903-3693
