,store,sido,gungu,address,phone
0,가경동점,충청북도,청주시흥덕구,충청북도 청주시흥덕구 풍산로 103(복대동),043-233-4091
1,가남점,경기도,여주시,경기도 여주시 가남면 태평중앙1길 8-6,031-883-5746
2,가래비점,경기도,양주시,경기도 양주시 광적면 가래비길 24,031-855-6126
3,가마점,충청북도,청주시서원구,"충청북도 청주시서원구 남이면 청남로 1827-25, 1층",043-287-2003
4,가수원점,대전광역시,서구,대전광역시 서구 가수원동 774-18,042-541-1350
5,가오점,대전광역시,동구,대전광역시 동구 가오동 533,042-284-0391
6,가운점,경기도,남양주시,경기도 남양주시 가운로2길 63 가운동삼원프라자 105호,031-557-9222
7,가장점,대전광역시,서구,대전광역시 서구 가장동 40-40,042-532-1140
8,가정지구1점,인천광역시,서구,인천광역시 서구 봉오재2로 37 104호,032-567-5885
9,가좌3점,인천광역시,서구,인천광역시 서구 가석로156번길 23-1,032-575-8999
10,가평역전점,경기도,가평군,경기도 가평군 가평읍 굴다리길 13,031-582-5242
11,가평점,경기도,가평군,경기도 가평군 가평읍 가화로 125-1,031-582-4419
12,가흥점,경상북도,영주시,경상북도 영주시 가흥동 530 시영상가 나동 102호,054-634-2500
13,각화주공점,광주광역시,북구,광주광역시 북구 각화동 202번지 주공@상가 107호,062-264-8529
14,간성점,강원도,고성군,강원도 고성군 간성읍 간성로 45,033-681-3330
15,간현점,강원도,원주시,강원도 원주시 지정면 간현로 188,033-731-0887
16,갈곶원동점,경기도,오산시,경기도 오산시 오산로 68(갈곶동),031-372-3573
17,갈마점,대전광역시,서구,대전광역시 서구 갈마로 60(갈마동),042-531-9962
18,갈산점,인천광역시,부평구,인천광역시 부평구 갈산동 364-4,032-522-9292
19,갈산점(이천),경기도,이천시,"경기도 이천시 갈산로 81(갈산동, 102)",031-638-8320
20,갈산점(홍성),충청남도,홍성군,충청남도 홍성군 갈산면 상촌리 243-12,041-634-1881
21,감곡점,충청북도,음성군,충청북도 음성군 감곡면 장감로 142,043-881-3903
22,감삼점,대구광역시,달서구,대구광역시 달서구 두류3동 630-1,053-562-9929
23,강경점,충청남도,논산시,충청남도 논산시 강경읍 대흥리 19-3,041-745-1206
24,강구점,경상북도,영덕군,경상북도 영덕군 강구면 강구리 453번지,054-733-5544
25,강남구청점,서울특별시,강남구,서울특별시 강남구 삼성로119길 41. 1층(삼성동),02-515-3576
26,강남대점,경기도,용인시기흥구,경기도 용인시기흥구 강남동로 114번길 22,031-284-9292
27,강남점,대구광역시,동구,대구광역시 동구 신암로16길 2,053-941-2510
28,강릉교동점,강원도,강릉시,강원도 강릉시 강릉대로 269 (교동),033-642-9800
29,강릉대점,강원도,강릉시,강원도 강릉시  율곡초교길39번  23(교동),033-645-6288
30,강릉서부점,강원도,강릉시,강원도 강릉시 임영로 170-3(임당동),033-641-1930
31,강릉옥계점,강원도,강릉시,강원도 강릉시  옥계면 현내시장길 59,033-534-2587
32,강릉옥천동점,강원도,강릉시,강원도 강릉시  경강로 2166,033-642-1532
